date,rank,id,symbol,name,slug,price
2024-Jan-20 21:27:02,12,1975,LINK,Chainlink,chainlink,1313.63986839982
2024-Jan-20 21:27:02,13,6636,DOT,Polkadot,polkadot-new,570.8247428406678
2024-Jan-20 21:27:02,14,11419,TON,Toncoin,toncoin,185.71928735022357
2024-Jan-20 21:27:02,15,3890,MATIC,Polygon,polygon,64.46523638875453
2024-Jan-20 21:28:03,1,1,BTC,Bitcoin,bitcoin,3452820.5271299575
2024-Jan-20 21:28:03,2,1027,ETH,Ethereum,ethereum,204718.22615151433
2024-Jan-20 21:28:03,3,825,USDT,Tether USDt,tether,83.06493536003046
2024-Jan-20 21:28:03,4,1839,BNB,BNB,bnb,26072.468432972382
2024-Jan-20 21:28:03,5,5426,SOL,Solana,solana,7570.988161523077
2024-Jan-20 21:28:03,6,52,XRP,XRP,xrp,45.574009728310656
2024-Jan-20 21:28:03,7,3408,USDC,USDC,usd-coin,83.13376572815012
2024-Jan-20 21:28:03,8,2010,ADA,Cardano,cardano,42.480970549299045
2024-Jan-20 21:28:03,9,5805,AVAX,Avalanche,avalanche,2704.250728474304
2024-Jan-20 21:28:03,10,74,DOGE,Dogecoin,dogecoin,6.586807219043898
2024-Jan-20 21:28:03,11,1958,TRX,TRON,tron,9.143497976694787
2024-Jan-20 21:28:03,12,1975,LINK,Chainlink,chainlink,1313.02896357854
2024-Jan-20 21:28:03,13,6636,DOT,Polkadot,polkadot-new,570.7397496181375
2024-Jan-20 21:28:03,14,11419,TON,Toncoin,toncoin,185.71855501421294
2024-Jan-20 21:28:03,15,3890,MATIC,Polygon,polygon,64.44676353906583
2024-Jan-20 21:29:05,1,1,BTC,Bitcoin,bitcoin,3452967.0307566947
2024-Jan-20 21:29:05,2,1027,ETH,Ethereum,ethereum,204711.0911938854
2024-Jan-20 21:29:05,3,825,USDT,Tether USDt,tether,83.068726655439
2024-Jan-20 21:29:05,4,1839,BNB,BNB,bnb,26072.57866006476
2024-Jan-20 21:29:05,5,5426,SOL,Solana,solana,7568.128940658831
2024-Jan-20 21:29:05,6,52,XRP,XRP,xrp,45.56452448455223
2024-Jan-20 21:29:05,7,3408,USDC,USDC,usd-coin,83.13028170264151
2024-Jan-20 21:29:05,8,2010,ADA,Cardano,cardano,42.47944971663132
2024-Jan-20 21:29:05,9,5805,AVAX,Avalanche,avalanche,2703.9889306823784
2024-Jan-20 21:29:05,10,74,DOGE,Dogecoin,dogecoin,6.586243495741087
2024-Jan-20 21:29:05,11,1958,TRX,TRON,tron,9.143488751738056
2024-Jan-20 21:29:05,12,1975,LINK,Chainlink,chainlink,1312.9843259505944
2024-Jan-20 21:29:05,13,6636,DOT,Polkadot,polkadot-new,570.7685298146097
2024-Jan-20 21:29:05,14,11419,TON,Toncoin,toncoin,185.72593949537884
2024-Jan-20 21:29:05,15,3890,MATIC,Polygon,polygon,64.4443987102377
2024-Jan-20 21:30:07,1,1,BTC,Bitcoin,bitcoin,3452781.744283623
2024-Jan-20 21:30:07,2,1027,ETH,Ethereum,ethereum,204687.36532117968
2024-Jan-20 21:30:07,3,825,USDT,Tether USDt,tether,83.07219491011726
2024-Jan-20 21:30:07,4,1839,BNB,BNB,bnb,26075.219526519486
2024-Jan-20 21:30:07,5,5426,SOL,Solana,solana,7563.411135753431
2024-Jan-20 21:30:07,6,52,XRP,XRP,xrp,45.55041677155829
